id,timeid,z_neighbour,z_state
160,6,-0.55,-0.67
160,7,-0.45,-0.25
161,1,7.00,0.91
161,2,-0.99,-0.44
161,3,-0.47,-0.48
161,4,0.99,-0.10
161,5,6.09,0.93
161,6,5.37,0.98
161,7,1.30,0.54
162,1,0,-0.25
162,2,0,-0.39
162,3,-0.65,-0.61
162,4,0.07,-0.46
162,5,1.98,-0.28
162,6,0.66,-0.39
162,7,2.59,0.15
163,1,-0.68,-0.41
163,2,-0.56,-0.42
163,3,-0.63,-0.37
163,4,-0.55,-0.25
163,5,-0.28,0.32
163,6,-0.28,-0.12
163,7,-0.36,-0.31
164,1,-0.50,-0.45
164,2,-0.85,-0.53
164,3,-1.21,-1.00
164,4,-0.76,-0.67
164,5,-0.69,-0.64
164,6,-0.60,-0.48
164,7,-0.72,-0.68
165,1,0,-0.17
165,2,-0.83,-0.52
165,3,0.39,-0.09
165,4,2.09,0.07
165,5,1.63,-0.10
165,6,-0.47,-0.43
165,7,-0.90,-0.31
166,1,-0.46,-0.20
166,2,0.15,-0.09
166,3,-0.66,-0.25
166,4,-0.60,-0.19
166,5,-0.50,0.22
166,6,-0.62,-0.01
166,7,-0.72,-0.29
167,1,0,-0.35
167,2,0,-0.22
167,3,-0.42,-0.98
167,4,-0.69,-1.04
167,5,-0.22,-0.13
167,6,-0.52,-0.20
167,7,-0.36,-0.35
168,1,0,-0.24
168,2,2.24,-0.03
168,3,2.42,0.27
168,4,2.99,0.16
168,5,-0.16,-0.33
168,6,0.30,-0.15
168,7,-0.48,-0.41
169,1,-0.45,-0.45
169,2,-0.96,-0.64
169,3,0.27,-0.62
169,4,0.08,-0.56
169,5,0.81,-0.47
169,6,6.64,0.19
169,7,2.31,0.27
170,1,-0.52,-0.33
170,2,-0.91,-0.26
170,3,-0.53,-0.29
170,4,-0.57,-0.37
170,5,-0.79,-0.45
170,6,-0.59,-0.41
170,7,-0.79,-0.52
171,1,-0.91,-0.36
171,2,-0.36,0.17
171,3,1.50,2.71
171,4,0.25,1.03
171,5,-0.32,0.17
171,6,-0.02,0.69
171,7,-0.16,0.19
172,1,-0.55,-0.42
172,2,3.57,1.89
172,3,0.35,0.49
172,4,0.12,-0.28
172,5,0.54,-0.13
172,6,0.83,0.12
172,7,0.50,0.08
173,1,-0.59,-0.42
173,2,-0.32,-0.32
173,3,-0.70,-0.99
173,4,-0.47,-0.57
173,5,-0.41,-0.22
173,6,-0.42,-0.32
173,7,-0.43,-0.30
174,1,0,11.39
174,2,30.04,4.32
174,3,17.87,2.69
174,4,88.30,7.27
174,5,103.76,35.29
174,6,95.11,22.51
174,7,76.17,23.34
175,1,0,-0.20
175,2,-1.07,-0.23
175,3,-0.72,-0.28
175,4,-0.48,-0.29
175,5,-0.51,-0.28
175,6,-0.40,-0.19
175,7,-0.26,-0.13
176,1,-0.90,-0.24
176,2,-0.83,-0.43
176,3,-1.56,-0.55
176,4,-1.04,-0.43
176,5,-1.81,-0.43
176,6,-1.39,-0.53
176,7,-1.11,-0.61
177,1,1.74,0.01
177,2,-0.67,-0.32
177,3,-0.60,-0.22
177,4,-0.61,-0.21
177,5,-0.61,-0.27
177,6,-0.61,-0.19
177,7,-0.59,0.17
178,1,0,1.64
178,2,1.05,1.43
178,3,-0.17,0.61
178,4,-1.01,-0.18
178,5,-0.96,-0.26
178,6,0.30,-0.15
178,7,-0.01,-0.09
179,1,-0.38,-0.36
179,2,-0.15,-0.15
179,3,1.39,1.37
179,4,2.09,2.07
179,5,5.85,0.95
179,6,1.45,0.33
179,7,2.14,0.61
180,1,-0.55,-0.33
180,2,-0.52,-0.26
180,3,-0.52,-0.29
180,4,-0.47,-0.37
180,5,-0.53,-0.47
180,6,-0.51,-0.60
180,7,-0.51,-0.62
181,1,-0.64,-0.41
181,2,0.35,0.33
181,3,0.12,-0.16
181,4,7.35,3.55
181,5,0.34,0.41
181,6,0.03,0.01
181,7,-0.37,-0.31
182,1,-1.00,-0.46
182,2,-0.86,-0.19
182,3,-0.97,-0.24
182,4,-0.80,-0.20
182,5,-0.67,-0.13
182,6,-0.72,-0.24
182,7,-0.78,-0.25
183,1,-0.15,0.78
183,2,-0.68,-0.17
183,3,-0.69,-0.19
183,4,-0.69,-0.23
183,5,-0.41,0.14
183,6,-0.28,0.24
183,7,-0.03,0.25
184,1,13.53,7.14
184,2,-0.55,-0.37
184,3,-0.43,-0.33
184,4,0.07,-0.44
184,5,-0.15,-0.51
184,6,0.98,0.22
184,7,-0.33,-0.44
185,1,-0.59,-0.20
185,2,-0.44,-0.24
185,3,-0.46,-0.22
185,4,-0.25,0.15
185,5,-0.91,-0.07
185,6,-1.40,-0.45
185,7,-1.28,-0.49
186,1,-0.53,-0.56
186,2,-0.58,-0.55
186,3,-0.62,-0.40
186,4,0.38,-0.25
186,5,0.46,-0.34
186,6,-0.26,-0.78
186,7,0.04,-0.78
187,1,-0.45,-0.36
187,2,-0.96,-0.39
187,3,-0.62,-0.43
187,4,-0.16,-0.30
187,5,-0.33,0.22
187,6,-0.46,-0.12
187,7,-0.45,-0.30
188,1,0,0.28
188,2,37.58,2.43
188,3,67.43,3.00
188,4,56.82,6.03
188,5,44.34,6.34
188,6,35.41,5.15
188,7,29.68,4.34
189,1,-0.45,-0.42
189,2,0.29,0.04
189,3,0.32,0.46
189,4,0.50,0.31
189,5,0.30,-0.21
189,6,-0.58,-0.37
189,7,-0.92,-0.44
190,1,-0.41,-0.35
190,2,-0.77,-0.22
190,3,-0.41,-1.07
190,4,-0.81,-1.11
190,5,-0.68,-0.38
190,6,-0.34,-0.36
190,7,-0.01,-0.44
