id,timeid,mean,sd
625,1,124930.00,140436.26
626,1,2869.00,2364.74
627,1,1908.50,1869.67
628,1,4743.50,7297.44
629,1,3322.60,1202.34
630,1,4595.00,7408.28
631,1,2533.14,1706.17
632,1,1935.62,1723.10
633,1,3171.75,2640.48
634,1,5575.00,2607.85
635,1,48439.17,89276.95
636,1,17280.00,7253.09
637,1,2390.00,1517.18
638,1,6676.75,5892.33
639,1,8356.00,3591.23
640,1,2188.22,795.07
641,1,9361.62,16787.69
642,1,2178.25,1288.09
643,1,27196.00,21397.05
644,1,17582.17,17907.85
645,1,2842.83,2162.99
646,1,4352.33,6641.46
647,1,9543.80,9052.77
648,1,8208.00,16252.16
649,1,3530.33,2844.03
650,1,9528.12,15078.46
651,1,1508.50,639.23
652,1,5438.12,6284.29
653,1,5881.29,3834.01
654,1,55115.50,11726.23
655,1,3099.00,1419.90
656,1,1380.86,629.23
657,1,5060.57,2847.19
658,1,5722.67,1765.71
659,1,6641.33,3959.19
660,1,59.00,0
661,1,6926.57,4577.63
662,1,12562.57,12515.57
663,1,3750.00,2448.09
664,1,3343.00,2786.58
665,1,5863.60,2820.60
666,1,8060.86,7285.53
667,1,22385.43,14934.38
668,1,6117.00,7334.75
669,1,7311.75,6487.87
670,1,7689.00,5946.91
671,1,12574.71,12387.56
672,1,77481.17,114874.66
673,1,1013.25,479.74
674,1,2622.50,3328.79
675,1,4042.43,6939.42
676,1,662.67,731.35
677,1,11190.67,20173.98
678,1,432.67,430.35
679,1,8437.50,8437.50
680,1,729.40,295.54
681,1,8292.40,7639.96
682,1,4713.17,3999.13
683,1,1656.20,997.94
684,1,5420.00,2199.74
685,1,5091.00,2421.00
686,1,9229.00,2741.92
687,1,3261.50,3222.92
688,1,189.25,110.04
689,1,2363.57,2689.33
690,1,13839.00,6098.31
691,1,3429.33,3546.69
692,1,3387.25,2016.83
693,1,3967.33,1010.12
694,1,235.00,162.76
695,1,6745.83,5282.81
696,1,3388.00,2317.36
697,1,1072.40,284.21
698,1,6495.60,6793.67
699,1,3230.20,2913.30
700,1,15914.60,16285.62
701,1,1807.86,1087.46
702,1,3585.50,2506.01
703,1,5123.43,2799.25
704,1,3949.20,2419.30
705,1,2142.60,1427.99
706,1,7511.40,3861.04
707,1,14239.40,20377.39
708,1,18217.60,7549.30
709,1,2440.86,3583.20
710,1,7476.00,1184.29
711,1,2991.43,2171.15
712,1,68286.71,107460.77
713,1,3465.00,2355.23
714,1,3187.00,2695.29
715,1,1962.57,2374.39
716,1,47462.75,28259.70
717,1,0.00,0
718,1,0.00,0
719,1,226.50,280.19
720,1,6823.00,3129.00
721,1,988.00,1071.56
722,1,2830.20,3857.65
723,1,3202.00,187.00
724,1,0.00,0
725,1,402.00,305.00
726,1,1014.33,1347.70
727,1,2731.83,1310.46
728,1,22443.00,14701.18
729,1,3661.50,1833.99
730,1,3452.00,1660.31
731,1,20808.50,42417.09
732,1,4825.83,2131.66
733,1,2741.78,1551.97
734,1,6595.50,1779.92
735,1,1446.80,691.06
736,1,1698.25,869.84
737,1,11224.00,19871.92
738,1,1928.60,1108.59
739,1,16711.71,24649.37
740,1,1376.86,2563.38
741,1,10917.50,14551.30
742,1,4869.00,2556.65
743,1,546.00,126.00
744,1,3023.50,3263.85
745,1,322.20,216.50
746,1,93664.00,108580.25
747,1,11574.67,6405.55
748,1,17771.00,10053.48
749,1,93122.60,90181.68
750,1,15570.67,5151.94
751,1,6908.33,4941.13
752,1,18175.00,6747.93
753,1,600.80,572.32
754,1,17968.00,8780.68
755,1,3236.25,3264.25
756,1,1610.25,2951.46
757,1,3893.50,3715.44
758,1,11331.80,7970.53
759,1,16604.00,9607.27
760,1,11626.00,10814.01
761,1,15325.00,10872.01
762,1,6023.83,6795.09
763,1,153.33,218.75
764,1,18706.75,24521.59
765,1,2977.38,2211.70
766,1,2402.50,1511.60
767,1,6253.14,3788.99
768,1,2275.33,2246.14
769,1,15339.00,7050.96
770,1,5116.17,8494.31
771,1,222.50,111.48
772,1,2142.33,2804.73
773,1,2734.40,1075.62
774,1,18954.20,20534.08
775,1,2230.00,124.00
776,1,116.00,3.00
777,1,137.40,184.02
778,1,94.71,114.20
779,1,1655.50,1415.32
780,1,8272.33,2013.82
781,1,14921.00,8316.32
782,1,2178.50,2965.26
783,1,1882.50,846.08
784,1,17468.00,14592.30
785,1,22428.83,30762.50
786,1,4503.40,1872.81
787,1,37142.60,23983.75
788,1,5134.80,7973.40
789,1,21690.86,9124.88
790,1,8193.60,8408.05
791,1,23417.60,7082.11
792,1,16653.86,8849.64
793,1,41386.00,44778.64
794,1,34564.25,27602.89
795,1,19171.80,35211.32
796,1,2082.80,1675.91
797,1,2370.00,1642.86
798,1,19407.50,21133.61
799,1,6549.50,2192.48
800,1,12067.14,10982.85
801,1,6905.50,1895.74
802,1,0.00,0
803,1,255.67,433.18
804,1,38702.75,46094.27
805,1,798.80,1073.42
806,1,1262.00,1488.38
807,1,1781.50,2518.97
808,1,1466.86,2345.09
809,1,131.00,98.51
810,1,3638.67,4702.53
811,1,4362.50,2836.97
812,1,2630.00,759.00
813,1,2669.80,2478.73
814,1,70921.20,16439.14
815,1,5033.00,3507.50
816,1,12981.00,8134.18
817,1,5374.40,2421.38
818,1,5545.43,4227.14
819,1,429.83,812.42
