id,time-id,mean,sd
433.0,1,5800.59,12098.54
435.0,1,6215.83,6588.31
436.0,1,3068.43,2068.17
437.0,1,3625.57,3907.85
438.0,1,1254.10,842.85
439.0,1,765.50,1127.55
440.0,1,7365.83,6494.91
441.0,1,3882.33,3959.96
443.0,1,23300.90,43336.52
444.0,1,3568.00,3929.57
445.0,1,543.00,1028.85
446.0,1,4378.38,8548.32
447.0,1,23158.31,43396.33
448.0,1,213.71,339.76
449.0,1,44146.68,79516.18
450.0,1,11640.00,14360.39
451.0,1,10717.08,6700.97
452.0,1,4294.06,9096.37
453.0,1,2609.48,4185.60
455.0,1,22947.24,43458.97
456.0,1,7146.76,8353.08
457.0,1,2572.44,4198.28
458.0,1,2603.80,4188.10
459.0,1,4859.97,5432.51
460.0,1,10756.38,6685.07
461.0,1,10485.23,6728.87
462.0,1,347.42,587.25
463.0,1,69507.58,21214.28
464.0,1,23835.25,45432.92
465.0,1,3699.00,4033.16
466.0,1,1217.80,880.00
467.0,1,3694.94,4032.97
468.0,1,64817.17,22443.54
469.0,1,6182.90,6641.60
470.0,1,347.33,587.30
471.0,1,6283.31,7615.06
472.0,1,5786.06,12102.83
473.0,1,1269.90,820.67
474.0,1,6306.27,7612.46
475.0,1,7383.69,6485.42
476.0,1,6334.79,7602.29
477.0,1,3610.52,3915.50
478.0,1,44971.71,79363.47
479.0,1,245.43,334.15
480.0,1,2343.00,0
481.0,1,344.00,588.99
482.0,1,3634.09,3902.89
483.0,1,335.50,591.16
484.0,1,344.88,588.59
485.0,1,766.10,1127.15
486.0,1,342.92,589.44
487.0,1,338.58,590.73
488.0,1,343.12,589.36
489.0,1,5600.54,4946.81
490.0,1,4077.62,3306.82
491.0,1,220.29,340.55
492.0,1,7366.00,6494.83
493.0,1,7226.97,6506.61
494.0,1,23088.16,45548.64
495.0,1,4248.06,9112.03
496.0,1,4236.94,9114.66
497.0,1,6290.80,7614.76
498.0,1,2586.52,4194.47
499.0,1,13163.00,11406.00
500.0,1,6180.14,6642.68
501.0,1,5823.28,12090.70
502.0,1,6357.35,7588.76
503.0,1,6328.76,7605.08
504.0,1,4396.45,8540.12
505.0,1,9917.54,6311.95
506.0,1,15009.76,20546.85
507.0,1,7236.03,8340.88
508.0,1,245.71,333.99
509.0,1,4238.91,9114.23
510.0,1,1187.40,897.60
511.0,1,2480.96,4439.33
512.0,1,2456.65,4447.06
513.0,1,23022.48,43440.18
514.0,1,5038.38,4894.22
516.0,1,6307.82,7612.11
517.0,1,6329.46,7604.77
518.0,1,7142.79,8352.96
519.0,1,4260.25,9108.63
520.0,1,4062.66,9097.36
521.0,1,6253.35,7610.95
522.0,1,5772.66,12106.27
523.0,1,6325.45,7606.47
524.0,1,4971.43,4935.86
525.0,1,762.60,1129.42
526.0,1,706.30,1149.38
527.0,1,6229.59,7601.64
528.0,1,5805.06,12097.11
529.0,1,2408.06,4441.79
530.0,1,4280.84,9101.66
531.0,1,37202.76,68109.36
533.0,1,2608.84,4185.89
534.0,1,7353.75,6500.29
535.0,1,15156.38,20499.43
536.0,1,6312.61,7610.87
537.0,1,7149.78,6465.56
538.0,1,22165.66,43422.94
539.0,1,7319.66,8303.36
540.0,1,15109.43,20517.13
541.0,1,4162.41,8557.64
542.0,1,23806.09,45445.05
543.0,1,4258.62,9109.11
544.0,1,5022.38,5507.43
545.0,1,43794.24,79490.01
546.0,1,2914.33,3292.81
547.0,1,7227.86,6506.88
548.0,1,4343.55,8560.89
549.0,1,4176.38,9121.12
550.0,1,23837.69,45431.88
551.0,1,330.88,591.06
552.0,1,45042.41,79336.40
553.0,1,45288.82,79224.73
554.0,1,4292.88,9096.87
555.0,1,2594.08,4191.91
556.0,1,5823.31,12090.69
557.0,1,2471.75,4443.08
558.0,1,43114.82,79284.97
559.0,1,5806.78,12096.54
560.0,1,7362.22,6496.60
561.0,1,7188.97,8350.88
562.0,1,2442.51,4448.38
563.0,1,4.86,8.72
564.0,1,23869.91,45417.71
565.0,1,4280.38,9101.84
566.0,1,2482.31,4438.70
567.0,1,4187.19,9120.94
569.0,1,393.87,393.36
570.0,1,12190.38,16602.12
571.0,1,5.14,8.66
572.0,1,5.29,8.60
573.0,1,410.18,851.15
574.0,1,5064.00,0
575.0,1,1175.67,1169.00
576.0,1,3034.86,2085.36
577.0,1,4.86,8.72
578.0,1,7357.86,8277.72
579.0,1,6281.38,6586.15
580.0,1,45090.35,79316.79
581.0,1,345.50,588.29
582.0,1,3645.65,3895.44
583.0,1,10638.92,6722.90
584.0,1,3542.13,3932.71
585.0,1,43981.97,79510.76
586.0,1,4918.12,5477.75
587.0,1,6205.24,6631.89
