id,time-id,mean,sd
139.0,7,545.67,524.78
140.0,1,1.27,5.30
140.0,2,24.77,56.32
140.0,3,144.25,173.94
140.0,4,373.56,449.14
140.0,5,1325.44,1615.43
140.0,6,3738.20,4914.25
140.0,7,738.52,959.60
141.0,1,1.28,5.30
141.0,2,24.85,56.30
141.0,3,143.01,174.36
141.0,4,377.66,447.98
141.0,5,1328.13,1614.22
141.0,6,3703.92,4927.95
141.0,7,733.73,961.87
142.0,1,0.03,0.18
142.0,2,1.03,1.99
142.0,3,47.62,81.46
142.0,4,147.28,292.37
142.0,5,1662.38,4001.78
142.0,6,2302.83,3672.25
142.0,7,204.45,671.90
143.0,1,1.29,6.35
143.0,2,39.73,165.16
143.0,3,196.90,591.23
143.0,4,220.51,523.24
143.0,5,592.80,1023.43
143.0,6,1152.43,1902.20
143.0,7,273.41,440.54
144.0,1,0.14,0.57
144.0,2,3.41,8.72
144.0,3,97.34,152.58
144.0,4,308.83,362.99
144.0,5,1377.03,2796.72
144.0,6,4358.31,4568.11
144.0,7,1129.34,1306.58
145.0,1,0.14,0.57
145.0,2,3.07,8.65
145.0,3,91.45,149.57
145.0,4,305.17,363.06
145.0,5,1353.79,2802.02
145.0,6,4275.90,4580.18
145.0,7,1108.66,1312.13
146.0,1,2.86,7.15
146.0,2,13.14,22.57
146.0,3,125.31,115.34
146.0,4,616.07,930.87
146.0,5,4997.00,12064.60
146.0,6,13552.07,25830.92
146.0,7,2651.86,4683.43
147.0,1,1.28,5.30
147.0,2,24.97,56.26
147.0,3,143.96,174.10
147.0,4,377.08,448.31
147.0,5,1302.76,1612.78
147.0,6,3675.92,4926.38
147.0,7,732.35,962.21
148.0,1,0.36,1.02
148.0,2,1.16,5.28
148.0,3,23.52,23.67
148.0,4,185.84,170.52
148.0,5,421.44,766.71
148.0,6,1360.84,2372.60
148.0,7,604.68,977.36
149.0,1,0.36,1.02
149.0,2,1.16,5.28
149.0,3,23.96,23.83
149.0,4,170.24,164.19
149.0,5,414.68,768.87
149.0,6,1351.32,2375.66
149.0,7,603.64,977.64
150.0,1,0.36,1.02
150.0,2,1.12,5.29
150.0,3,21.76,20.70
150.0,4,176.44,171.22
150.0,5,408.44,769.49
150.0,6,1323.08,2378.90
150.0,7,600.36,978.32
151.0,1,0.36,1.02
151.0,2,1.16,5.28
151.0,3,24.36,23.79
151.0,4,184.80,171.26
151.0,5,418.96,767.68
151.0,6,1364.84,2371.02
151.0,7,608.68,976.04
152.0,1,2.31,5.01
152.0,2,99.97,381.62
152.0,3,698.72,2858.09
152.0,4,944.44,3286.06
152.0,5,1548.72,3016.96
152.0,6,2109.41,3194.15
152.0,7,381.66,600.88
153.0,1,1.28,5.30
153.0,2,24.90,56.28
153.0,3,144.20,173.98
153.0,4,378.63,447.31
153.0,5,1329.44,1613.52
153.0,6,3732.61,4917.66
153.0,7,736.56,960.73
154.0,1,2.17,6.03
154.0,2,19.11,23.35
154.0,3,127.22,115.52
154.0,4,455.22,347.49
154.0,5,1069.06,1211.54
154.0,6,1651.22,2236.12
154.0,7,369.56,498.94
155.0,1,0.58,1.59
155.0,2,7.00,12.72
155.0,3,129.17,74.47
155.0,4,326.81,150.59
155.0,5,1822.47,2058.07
155.0,6,4612.56,3999.92
155.0,7,492.17,417.16
156.0,1,1.29,2.58
156.0,2,0.00,0.00
156.0,3,352.24,695.12
156.0,4,1066.86,1591.50
156.0,5,4165.14,6787.03
156.0,6,8230.95,10154.94
156.0,7,1407.81,1548.60
157.0,1,2.25,5.47
157.0,2,62.38,148.75
157.0,3,357.44,536.00
157.0,4,548.50,683.29
157.0,5,1255.72,1443.71
157.0,6,2458.78,2586.96
157.0,7,454.19,575.62
158.0,1,1.28,5.30
158.0,2,24.96,56.26
158.0,3,140.82,173.54
158.0,4,374.89,449.06
158.0,5,1316.85,1617.12
158.0,6,3685.62,4928.22
158.0,7,726.15,961.96
159.0,1,2.78,6.43
159.0,2,21.94,30.31
159.0,3,121.56,112.71
159.0,4,419.28,330.83
159.0,5,992.72,1191.65
159.0,6,1684.44,2243.17
159.0,7,369.94,498.90
160.0,1,2.25,5.47
160.0,2,64.31,148.33
