id,timeid,mean,sd
130,17,413.00,310.68
130,18,552.75,379.99
130,19,1058.50,722.15
130,20,1301.50,622.94
130,21,1487.75,653.77
130,22,1782.00,945.21
130,23,1834.00,1131.60
130,24,2010.75,1523.58
130,25,2175.75,1831.41
131,1,0.17,0.37
131,2,0.83,1.86
131,3,1.17,1.86
131,4,2.67,5.96
131,5,2.00,3.65
131,6,8.00,8.93
131,7,43.67,62.57
131,8,54.17,88.04
131,9,140.00,244.81
131,10,169.50,239.92
131,11,165.83,245.39
131,12,188.33,212.55
131,13,235.00,349.27
131,14,271.67,437.82
131,15,379.17,651.21
131,16,545.67,843.86
131,17,750.50,1031.44
131,18,1244.67,1231.58
131,19,1795.17,1493.88
131,20,2519.33,2082.54
131,21,2452.50,2181.15
131,22,2853.83,2377.06
131,23,2492.33,2057.60
131,24,2154.67,1959.54
131,25,1816.00,1811.54
132,1,0.00,0.00
132,2,0.40,0.80
132,3,0.00,0.00
132,4,2.80,5.11
132,5,0.00,0.00
132,6,0.80,1.60
132,7,0.00,0.00
132,8,1.80,2.14
132,9,2.80,4.62
132,10,11.00,17.55
132,11,31.00,56.04
132,12,39.40,61.69
132,13,19.00,22.06
132,14,20.00,27.76
132,15,20.80,27.92
132,16,35.20,49.52
132,17,59.00,42.47
132,18,84.20,34.34
132,19,127.60,59.75
132,20,118.60,45.82
132,21,120.60,64.06
132,22,188.00,79.58
132,23,249.20,143.61
132,24,309.40,118.12
132,25,396.00,206.36
133,1,0.00,0.00
133,2,0.00,0.00
133,3,0.00,0.00
133,4,0.00,0.00
133,5,1.50,1.66
133,6,1.25,1.30
133,7,2.25,1.30
133,8,9.25,9.78
133,9,10.25,7.40
133,10,19.50,15.14
133,11,21.00,14.04
133,12,29.75,19.74
133,13,49.25,19.38
133,14,65.50,25.51
133,15,81.00,42.53
133,16,77.75,41.05
133,17,67.75,44.45
133,18,80.25,40.10
133,19,150.75,86.43
133,20,253.00,138.29
133,21,351.25,80.56
133,22,431.50,82.43
133,23,429.50,103.47
133,24,432.00,167.15
133,25,514.25,222.89
134,1,0.20,0.40
134,2,0.20,0.40
134,3,3.40,5.35
134,4,5.00,5.55
134,5,8.60,14.77
134,6,5.40,5.20
134,7,37.40,50.31
