id,time-id,mean,sd
111.0,24,2013.19,2249.87
111.0,25,1970.24,2080.56
112.0,1,0.08,0.55
112.0,2,0.69,2.89
112.0,3,2.75,15.07
112.0,4,6.82,26.27
112.0,5,17.04,84.84
112.0,6,10.69,36.90
112.0,7,23.88,89.08
112.0,8,31.14,115.72
112.0,9,43.14,145.94
112.0,10,50.53,139.78
112.0,11,54.10,142.67
112.0,12,59.94,148.24
112.0,13,53.53,133.05
112.0,14,51.82,128.84
112.0,15,46.69,107.42
112.0,16,57.75,131.89
112.0,17,80.22,155.16
112.0,18,132.84,242.07
112.0,19,172.71,285.81
112.0,20,198.80,342.01
112.0,21,214.35,404.83
112.0,22,221.04,359.68
112.0,23,263.51,461.96
112.0,24,312.55,500.26
112.0,25,375.61,603.68
113.0,1,0.25,0.83
113.0,2,0.25,0.60
113.0,3,1.33,2.29
113.0,4,1.00,1.78
113.0,5,0.58,1.19
113.0,6,0.50,1.38
113.0,7,1.83,3.44
113.0,8,1.33,2.36
113.0,9,2.33,3.88
113.0,10,13.08,17.99
113.0,11,44.00,52.17
113.0,12,67.92,66.22
113.0,13,94.08,100.75
113.0,14,70.50,72.85
113.0,15,71.00,62.14
113.0,16,75.75,60.54
113.0,17,43.75,50.39
113.0,18,100.83,133.43
113.0,19,171.75,219.00
113.0,20,187.83,216.26
113.0,21,297.83,359.07
113.0,22,355.75,447.97
113.0,23,411.00,440.68
113.0,24,537.67,543.52
113.0,25,725.83,736.38
114.0,1,0.62,2.38
114.0,2,0.94,2.19
114.0,3,3.81,8.42
114.0,4,14.78,43.36
114.0,5,20.03,45.89
114.0,6,22.94,54.56
114.0,7,40.88,91.99
114.0,8,57.38,137.55
114.0,9,62.50,114.54
114.0,10,83.34,109.95
114.0,11,121.22,151.48
114.0,12,109.47,127.68
114.0,13,117.41,174.88
114.0,14,118.75,172.30
114.0,15,138.03,186.91
114.0,16,146.22,172.14
114.0,17,186.78,219.81
114.0,18,224.84,284.87
114.0,19,298.91,408.43
114.0,20,369.69,437.00
114.0,21,401.81,431.82
114.0,22,475.91,464.39
114.0,23,532.12,564.11
114.0,24,544.91,635.75
114.0,25,614.72,758.39
115.0,1,0.33,0.71
115.0,2,0.62,1.62
115.0,3,2.24,4.07
115.0,4,4.33,8.33
115.0,5,2.52,4.60
115.0,6,2.33,4.93
115.0,7,6.24,10.69
115.0,8,15.43,24.72
115.0,9,19.52,31.90
115.0,10,22.48,32.62
115.0,11,48.05,108.25
115.0,12,109.76,239.12
115.0,13,203.29,483.95
115.0,14,270.57,570.58
115.0,15,309.95,604.45
115.0,16,323.29,660.01
115.0,17,333.62,505.66
115.0,18,401.29,518.93
115.0,19,406.10,485.98
115.0,20,474.86,687.13
115.0,21,446.38,544.23
115.0,22,457.33,415.01
115.0,23,523.57,389.86
115.0,24,684.24,442.23
115.0,25,902.52,588.48
116.0,1,0.21,1.01
116.0,2,0.52,2.56
116.0,3,2.34,6.08
116.0,4,3.03,7.01
116.0,5,7.38,20.69
116.0,6,11.63,28.78
116.0,7,15.15,32.29
116.0,8,24.42,53.31
116.0,9,26.89,48.30
116.0,10,37.99,41.18
116.0,11,40.44,33.63
116.0,12,51.20,44.86
116.0,13,70.52,72.90
116.0,14,92.69,102.57
116.0,15,116.77,166.90
116.0,16,126.61,178.07
116.0,17,184.97,299.99
116.0,18,252.72,316.51
116.0,19,393.49,499.75
116.0,20,513.44,611.82
116.0,21,660.97,848.30
116.0,22,811.69,1048.22
116.0,23,938.66,1326.78
116.0,24,951.52,1276.11
116.0,25,1020.30,1326.83
117.0,1,0.21,1.01
117.0,2,0.52,2.56
117.0,3,2.34,6.08
117.0,4,3.03,7.01
117.0,5,7.38,20.69
117.0,6,11.63,28.78
117.0,7,15.15,32.29
117.0,8,24.35,53.34
117.0,9,26.82,48.33
117.0,10,38.01,41.17
117.0,11,39.38,32.42
117.0,12,50.34,44.38
117.0,13,69.55,72.82
117.0,14,91.73,102.82
117.0,15,116.10,167.18
117.0,16,126.70,178.01
117.0,17,184.61,300.18
117.0,18,252.49,316.66
117.0,19,392.93,500.14
117.0,20,513.30,611.91
117.0,21,660.66,848.47
117.0,22,810.94,1048.61
117.0,23,937.07,1327.50
117.0,24,950.27,1276.72
117.0,25,1018.01,1327.96
118.0,1,1.12,3.28
118.0,2,3.41,9.94
118.0,3,13.29,50.96
118.0,4,32.82,133.03
118.0,5,55.62,196.55
118.0,6,35.50,148.55
118.0,7,153.29,614.26
118.0,8,283.44,933.60
118.0,9,423.74,1293.19
118.0,10,683.12,2350.04
118.0,11,976.18,3422.90
118.0,12,817.29,2331.40
118.0,13,1010.62,2925.64
118.0,14,1194.56,3201.80
118.0,15,1537.44,4006.31
118.0,16,1942.91,4685.07
118.0,17,2260.85,5191.37
118.0,18,2474.12,5226.14
118.0,19,3177.82,6479.03
118.0,20,3727.03,7596.96
118.0,21,4243.76,8213.48
118.0,22,4543.35,6994.96
118.0,23,4732.06,7123.95
118.0,24,4941.82,7173.74
118.0,25,5962.18,8032.14
119.0,1,0.44,1.12
119.0,2,1.28,2.98
119.0,3,1.66,5.04
119.0,4,11.25,36.79
119.0,5,28.38,108.71
119.0,6,52.97,204.33
119.0,7,83.78,338.36
119.0,8,129.59,493.88
119.0,9,173.78,723.65
119.0,10,148.06,581.78
119.0,11,185.12,778.08
119.0,12,235.59,979.06
119.0,13,194.66,737.80
119.0,14,206.97,746.25
119.0,15,246.16,763.81
119.0,16,240.31,616.43
119.0,17,279.22,610.63
119.0,18,366.28,729.10
119.0,19,402.12,739.51
119.0,20,435.06,691.22
119.0,21,450.97,715.61
119.0,22,474.34,756.03
119.0,23,480.25,790.08
119.0,24,480.25,681.79
119.0,25,523.12,793.05
120.0,1,0.57,1.68
120.0,2,1.14,2.77
120.0,3,1.00,1.69
120.0,4,4.29,8.02
120.0,5,3.62,7.31
120.0,6,3.43,8.86
120.0,7,16.62,20.36
120.0,8,43.00,34.84
120.0,9,48.19,34.71
120.0,10,33.67,30.14
120.0,11,10.62,12.64
120.0,12,15.71,16.76
120.0,13,27.48,31.94
120.0,14,47.62,63.42
120.0,15,73.05,110.79
120.0,16,88.90,116.83
120.0,17,98.81,129.49
120.0,18,158.57,232.77
120.0,19,207.19,236.13
120.0,20,316.14,395.06
120.0,21,430.71,567.58
120.0,22,500.10,630.46
120.0,23,732.10,735.46
120.0,24,916.19,999.46
120.0,25,925.05,771.71
121.0,1,0.21,1.01
121.0,2,0.52,2.56
121.0,3,2.34,6.08
121.0,4,2.93,7.00
121.0,5,7.34,20.70
121.0,6,11.42,28.81
121.0,7,14.90,32.34
121.0,8,24.18,53.38
121.0,9,26.93,48.28
121.0,10,38.21,41.10
121.0,11,40.75,33.52
121.0,12,51.46,44.77
121.0,13,70.72,72.81
121.0,14,92.59,102.62
121.0,15,116.61,166.99
121.0,16,126.45,178.15
121.0,17,184.23,300.35
121.0,18,250.48,317.51
121.0,19,391.83,500.76
121.0,20,510.70,613.20
121.0,21,657.94,849.59
121.0,22,808.31,1049.69
121.0,23,936.23,1327.82
121.0,24,948.62,1277.39
121.0,25,1017.55,1328.15
122.0,1,0.44,1.12
122.0,2,1.28,2.98
122.0,3,1.66,5.04
122.0,4,11.09,36.83
122.0,5,27.69,108.82
122.0,6,52.53,204.43
122.0,7,82.16,338.63
122.0,8,129.00,494.03
122.0,9,172.81,723.86
122.0,10,147.75,581.86
122.0,11,184.81,778.15
122.0,12,235.25,979.14
122.0,13,194.34,737.87
122.0,14,206.12,746.44
122.0,15,244.66,764.17
122.0,16,239.03,616.77
122.0,17,278.97,610.71
122.0,18,365.75,729.29
122.0,19,403.28,739.07
122.0,20,438.44,690.01
122.0,21,454.72,714.37
122.0,22,479.97,754.31
122.0,23,490.09,787.35
122.0,24,487.19,679.18
122.0,25,529.88,790.77
123.0,1,0.33,0.47
123.0,2,1.17,1.40
123.0,3,14.17,9.97
123.0,4,16.75,21.59
123.0,5,15.67,18.35
123.0,6,32.33,41.80
123.0,7,57.75,67.14
123.0,8,65.33,82.25
123.0,9,58.83,66.11
123.0,10,40.08,33.76
123.0,11,73.67,58.50
123.0,12,68.08,39.70
123.0,13,97.58,55.48
123.0,14,182.33,123.13
123.0,15,320.42,180.71
123.0,16,483.75,260.62
123.0,17,1131.33,466.89
123.0,18,1851.08,856.55
123.0,19,4918.25,2207.52
123.0,20,7187.58,4375.97
123.0,21,8635.25,3403.82
123.0,22,9572.92,3777.57
123.0,23,9539.25,3080.65
123.0,24,9940.33,3200.83
123.0,25,11085.83,4016.68
124.0,1,0.11,0.31
124.0,2,1.61,3.71
124.0,3,3.17,7.12
124.0,4,6.78,9.00
124.0,5,6.28,9.86
124.0,6,6.56,12.39
124.0,7,12.11,15.50
124.0,8,13.06,16.87
124.0,9,20.39,25.60
124.0,10,26.72,28.23
124.0,11,44.22,32.91
124.0,12,66.17,49.49
124.0,13,119.44,124.70
124.0,14,98.67,77.52
124.0,15,102.44,90.24
124.0,16,105.33,107.70
124.0,17,137.17,145.07
124.0,18,242.44,256.62
124.0,19,324.72,471.22
124.0,20,348.89,438.47
124.0,21,353.00,462.57
124.0,22,382.44,521.32
124.0,23,369.56,548.22
124.0,24,396.06,478.28
124.0,25,484.28,644.06
125.0,1,0.07,0.36
125.0,2,0.03,0.18
125.0,3,0.62,2.06
125.0,4,1.14,4.92
125.0,5,0.24,0.93
125.0,6,1.34,3.96
125.0,7,2.79,6.22
125.0,8,6.66,21.58
125.0,9,17.62,40.64
125.0,10,28.48,49.64
125.0,11,37.90,41.28
125.0,12,55.69,59.97
125.0,13,57.69,63.42
125.0,14,67.93,74.10
125.0,15,95.90,135.37
125.0,16,122.45,226.38
125.0,17,217.45,441.11
125.0,18,266.14,573.31
125.0,19,386.97,868.95
125.0,20,507.86,865.59
125.0,21,676.03,923.94
125.0,22,806.48,911.46
125.0,23,1029.10,994.70
125.0,24,1403.45,1439.03
125.0,25,1547.48,1707.20
126.0,1,0.00,0.00
126.0,2,0.00,0.00
126.0,3,0.04,0.20
126.0,4,0.00,0.00
126.0,5,0.00,0.00
126.0,6,0.00,0.00
126.0,7,0.00,0.00
126.0,8,0.00,0.00
126.0,9,0.00,0.00
126.0,10,0.00,0.00
126.0,11,0.12,0.44
126.0,12,1.92,6.01
126.0,13,2.00,5.50
126.0,14,2.50,5.66
126.0,15,3.42,7.12
126.0,16,4.17,10.49
126.0,17,5.58,14.24
126.0,18,19.75,66.03
126.0,19,26.25,80.54
126.0,20,45.33,113.42
126.0,21,37.88,58.45
126.0,22,35.79,47.00
126.0,23,41.42,51.81
126.0,24,48.67,65.44
126.0,25,68.88,105.67
127.0,1,0.08,0.55
127.0,2,0.69,2.89
127.0,3,2.75,15.07
127.0,4,6.82,26.27
127.0,5,17.08,84.83
127.0,6,10.69,36.90
127.0,7,23.84,89.09
127.0,8,31.18,115.71
127.0,9,43.08,145.96
127.0,10,50.53,139.78
127.0,11,54.06,142.69
127.0,12,59.59,148.36
127.0,13,53.10,133.18
127.0,14,51.71,128.89
127.0,15,46.61,107.45
127.0,16,57.84,131.85
127.0,17,80.31,155.11
127.0,18,133.43,241.79
127.0,19,173.33,285.56
127.0,20,200.51,341.33
127.0,21,215.65,404.35
127.0,22,222.45,359.14
127.0,23,264.24,461.75
127.0,24,312.27,500.30
127.0,25,375.80,603.64
128.0,1,0.00,0.00
128.0,2,0.31,0.97
128.0,3,0.58,1.36
128.0,4,0.89,3.89
128.0,5,0.61,1.86
128.0,6,4.53,10.29
128.0,7,7.92,11.61
128.0,8,8.89,11.82
128.0,9,20.00,16.41
128.0,10,38.47,29.07
128.0,11,50.11,23.01
128.0,12,61.11,34.83
128.0,13,77.53,38.70
128.0,14,77.50,34.51
128.0,15,81.78,59.02
128.0,16,108.97,98.83
128.0,17,166.33,191.79
128.0,18,402.39,457.82
128.0,19,549.22,687.16
128.0,20,779.08,848.37
128.0,21,929.11,975.58
128.0,22,1227.97,1134.74
128.0,23,1183.39,916.19
128.0,24,856.28,756.03
128.0,25,681.25,577.18
129.0,1,0.44,1.12
129.0,2,1.28,2.98
129.0,3,1.66,5.04
129.0,4,11.25,36.79
129.0,5,28.34,108.72
129.0,6,52.44,204.44
129.0,7,83.56,338.41
129.0,8,127.62,494.27
129.0,9,172.19,723.97
129.0,10,147.00,582.01
129.0,11,184.31,778.25
129.0,12,235.00,979.20
129.0,13,194.25,737.89
129.0,14,206.31,746.40
129.0,15,245.44,763.99
129.0,16,240.44,616.39
129.0,17,279.56,610.51
129.0,18,368.69,728.12
129.0,19,405.09,738.27
129.0,20,441.59,688.39
129.0,21,458.53,712.44
129.0,22,483.84,752.32
129.0,23,492.41,786.12
129.0,24,489.38,677.86
129.0,25,532.34,789.46
130.0,1,0.16,0.62
130.0,2,1.00,2.52
130.0,3,12.38,15.54
130.0,4,13.78,19.42
130.0,5,11.84,17.13
130.0,6,13.00,44.68
130.0,7,37.78,142.43
130.0,8,120.47,417.31
130.0,9,159.47,629.00
130.0,10,259.34,1138.39
130.0,11,291.22,1266.19
130.0,12,386.81,1787.43
130.0,13,561.06,2586.66
130.0,14,627.53,2639.94
130.0,15,993.34,3708.29
130.0,16,1317.78,4353.75
130.0,17,1524.91,4350.55
130.0,18,1683.88,3442.99
130.0,19,2196.16,3291.16
130.0,20,2307.97,2895.36
130.0,21,2186.38,2666.07
130.0,22,2188.06,2644.23
130.0,23,2224.03,2742.24
130.0,24,2357.69,3106.45
130.0,25,2344.09,3028.95
131.0,1,0.00,0.00
131.0,2,0.31,0.97
131.0,3,0.58,1.36
131.0,4,0.89,3.89
131.0,5,0.61,1.86
131.0,6,4.50,10.30
131.0,7,7.89,11.62
131.0,8,8.72,11.91
131.0,9,19.92,16.49
131.0,10,38.11,29.44
131.0,11,50.33,22.87
131.0,12,61.44,34.61
131.0,13,78.67,37.73
131.0,14,77.42,34.62
131.0,15,81.86,58.94
131.0,16,108.86,98.91
131.0,17,165.97,192.01
131.0,18,402.03,458.04
131.0,19,548.81,687.36
131.0,20,782.69,846.79
131.0,21,934.97,972.52
131.0,22,1250.44,1126.16
131.0,23,1201.31,907.65
131.0,24,883.31,752.33
131.0,25,704.67,577.49
132.0,1,0.08,0.55
132.0,2,0.69,2.89
132.0,3,2.75,15.07
132.0,4,6.82,26.27
132.0,5,17.08,84.83
132.0,6,10.69,36.90
132.0,7,23.84,89.09
132.0,8,31.20,115.71
132.0,9,43.12,145.94
132.0,10,50.35,139.84
132.0,11,54.00,142.71
132.0,12,59.78,148.30
132.0,13,52.98,133.21
132.0,14,51.24,129.01
132.0,15,46.67,107.43
132.0,16,57.71,131.90
132.0,17,79.92,155.28
132.0,18,132.94,242.03
132.0,19,173.94,285.24
132.0,20,200.41,341.38
132.0,21,215.65,404.35
132.0,22,222.59,359.07
132.0,23,265.55,461.23
132.0,24,316.27,499.02
132.0,25,379.12,602.61
133.0,1,0.21,1.01
133.0,2,0.52,2.56
133.0,3,2.34,6.08
133.0,4,2.99,7.02
133.0,5,7.34,20.70
133.0,6,11.58,28.80
133.0,7,15.10,32.31
133.0,8,24.27,53.37
133.0,9,26.90,48.30
133.0,10,38.34,41.01
133.0,11,40.83,33.45
133.0,12,51.61,44.67
133.0,13,70.82,72.74
133.0,14,92.49,102.67
