time-id,method,spot,id
4,neighborhood,hot,514
4,neighborhood,hot,521
4,neighborhood,hot,530
4,neighborhood,hot,531
4,neighborhood,hot,538
4,neighborhood,hot,542
4,neighborhood,hot,545
4,neighborhood,hot,546
4,neighborhood,hot,560
4,neighborhood,hot,567
4,neighborhood,hot,576
4,neighborhood,hot,579
4,neighborhood,hot,596
4,neighborhood,hot,598
4,neighborhood,hot,611
4,neighborhood,hot,617
4,neighborhood,hot,631
4,neighborhood,hot,639
4,neighborhood,hot,640
4,neighborhood,hot,653
4,neighborhood,hot,657
4,neighborhood,hot,684
4,neighborhood,hot,692
4,neighborhood,hot,710
4,neighborhood,hot,714
4,neighborhood,hot,727
4,neighborhood,hot,729
4,neighborhood,hot,733
4,neighborhood,hot,736
4,neighborhood,hot,748
4,neighborhood,hot,758
4,neighborhood,hot,759
4,neighborhood,hot,768
4,neighborhood,hot,773
4,neighborhood,hot,783
4,neighborhood,hot,786
4,neighborhood,hot,791
4,neighborhood,hot,793
4,neighborhood,hot,804
4,state,cold,416
4,state,hot,103
4,state,hot,104
4,state,hot,138
4,state,hot,159
4,state,hot,171
4,state,hot,172
4,state,hot,174
4,state,hot,188
4,state,hot,197
4,state,hot,216
4,state,hot,222
4,state,hot,235
4,state,hot,252
4,state,hot,268
4,state,hot,295
4,state,hot,315
4,state,hot,322
4,state,hot,329
4,state,hot,331
4,state,hot,333
4,state,hot,351
4,state,hot,355
4,state,hot,359
4,state,hot,409
4,state,hot,421
4,state,hot,435
4,state,hot,457
4,state,hot,467
4,state,hot,468
4,state,hot,480
4,state,hot,489
4,state,hot,521
4,state,hot,531
4,state,hot,538
4,state,hot,546
4,state,hot,567
4,state,hot,576
4,state,hot,579
4,state,hot,598
4,state,hot,613
4,state,hot,617
4,state,hot,640
4,state,hot,653
4,state,hot,684
4,state,hot,707
4,state,hot,710
4,state,hot,729
4,state,hot,768
4,state,hot,773
4,state,hot,783
5,neighborhood,cold,119
5,neighborhood,cold,120
5,neighborhood,cold,121
5,neighborhood,cold,130
5,neighborhood,cold,176
5,neighborhood,cold,205
5,neighborhood,cold,216
5,neighborhood,cold,297
5,neighborhood,cold,298
5,neighborhood,cold,337
5,neighborhood,cold,378
5,neighborhood,cold,398
5,neighborhood,cold,414
5,neighborhood,cold,441
5,neighborhood,cold,447
5,neighborhood,cold,455
5,neighborhood,cold,473
5,neighborhood,cold,499
5,neighborhood,cold,532
5,neighborhood,cold,536
5,neighborhood,cold,590
5,neighborhood,cold,610
5,neighborhood,cold,613
5,neighborhood,cold,614
5,neighborhood,cold,637
5,neighborhood,cold,727
5,neighborhood,cold,742
5,neighborhood,cold,752
5,neighborhood,cold,799
5,neighborhood,hot,103
5,neighborhood,hot,104
5,neighborhood,hot,136
5,neighborhood,hot,145
5,neighborhood,hot,152
5,neighborhood,hot,153
5,neighborhood,hot,154
5,neighborhood,hot,157
5,neighborhood,hot,168
5,neighborhood,hot,172
5,neighborhood,hot,174
5,neighborhood,hot,181
5,neighborhood,hot,188
5,neighborhood,hot,197
5,neighborhood,hot,203
5,neighborhood,hot,206
5,neighborhood,hot,222
5,neighborhood,hot,268
5,neighborhood,hot,287
5,neighborhood,hot,296
5,neighborhood,hot,313
5,neighborhood,hot,319
5,neighborhood,hot,329
5,neighborhood,hot,348
5,neighborhood,hot,351
5,neighborhood,hot,355
5,neighborhood,hot,356
5,neighborhood,hot,359
5,neighborhood,hot,361
5,neighborhood,hot,362
5,neighborhood,hot,368
5,neighborhood,hot,384
5,neighborhood,hot,387
5,neighborhood,hot,403
5,neighborhood,hot,409
5,neighborhood,hot,411
5,neighborhood,hot,422
5,neighborhood,hot,431
5,neighborhood,hot,435
5,neighborhood,hot,452
5,neighborhood,hot,457
5,neighborhood,hot,459
5,neighborhood,hot,468
5,neighborhood,hot,480
5,neighborhood,hot,489
5,neighborhood,hot,494
5,neighborhood,hot,521
5,neighborhood,hot,527
5,neighborhood,hot,531
5,neighborhood,hot,534
5,neighborhood,hot,538
5,neighborhood,hot,545
5,neighborhood,hot,547
5,neighborhood,hot,567
5,neighborhood,hot,588
5,neighborhood,hot,598
5,neighborhood,hot,599
5,neighborhood,hot,617
5,neighborhood,hot,631
5,neighborhood,hot,636
5,neighborhood,hot,640
5,neighborhood,hot,654
5,neighborhood,hot,657
5,neighborhood,hot,661
5,neighborhood,hot,692
5,neighborhood,hot,699
5,neighborhood,hot,736
5,neighborhood,hot,739
5,neighborhood,hot,746
5,neighborhood,hot,747
5,neighborhood,hot,755
5,neighborhood,hot,759
5,neighborhood,hot,760
5,neighborhood,hot,773
5,neighborhood,hot,783
5,neighborhood,hot,786
5,neighborhood,hot,789
5,neighborhood,hot,790
5,neighborhood,hot,797
5,neighborhood,hot,818
5,state,cold,416
5,state,hot,103
5,state,hot,104
5,state,hot,154
5,state,hot,172
5,state,hot,174
5,state,hot,181
5,state,hot,197
5,state,hot,210
5,state,hot,216
5,state,hot,222
5,state,hot,235
5,state,hot,252
5,state,hot,268
5,state,hot,287
5,state,hot,313
5,state,hot,319
5,state,hot,329
5,state,hot,339
5,state,hot,351
5,state,hot,355
5,state,hot,359
5,state,hot,362
5,state,hot,387
5,state,hot,403
5,state,hot,407
5,state,hot,409
5,state,hot,435
5,state,hot,457
5,state,hot,459
5,state,hot,461
5,state,hot,463
5,state,hot,468
5,state,hot,480
5,state,hot,489
5,state,hot,527
5,state,hot,531
5,state,hot,534
5,state,hot,538
5,state,hot,547
5,state,hot,579
5,state,hot,588
5,state,hot,599
5,state,hot,617
5,state,hot,640
5,state,hot,657
5,state,hot,729
5,state,hot,760
5,state,hot,773
5,state,hot,789
6,neighborhood,cold,112
